StockExchange,Stock,StockTicker,Date,Open,High,Low,Close,AdjClose,Volume
NYSE,Google,GOOG,2/5/2020,"1,462.42","1,463.84","1,430.56","1,448.23","1,448.23",1986200
NYSE,Google,GOOG,2/6/2020,"1,450.33","1,482.00","1,449.57","1,476.23","1,476.23",1679400
NYSE,Google,GOOG,2/7/2020,"1,467.30","1,485.84","1,466.35","1,479.23","1,479.23",1172300
NYSE,Google,GOOG,2/10/2020,"1,474.32","1,509.50","1,474.32","1,508.68","1,508.68",1419900
NYSE,Google,GOOG,2/11/2020,"1,511.81","1,529.63","1,505.64","1,508.79","1,508.79",1344600
NYSE,Google,GOOG,2/12/2020,"1,514.48","1,520.69","1,508.11","1,518.27","1,518.27",1167600
NYSE,Google,GOOG,2/13/2020,"1,512.69","1,527.18","1,504.60","1,514.66","1,514.66",929500
NYSE,Google,GOOG,2/14/2020,"1,515.60","1,520.74","1,507.34","1,520.74","1,520.74",1197800
NYSE,Google,GOOG,2/18/2020,"1,515.00","1,531.63","1,512.59","1,519.67","1,519.67",1120700
NYSE,Google,GOOG,2/19/2020,"1,525.07","1,532.11","1,521.40","1,526.69","1,526.69",949300
NYSE,Google,GOOG,2/20/2020,"1,522.00","1,529.64","1,506.82","1,518.15","1,518.15",1096600
NYSE,Google,GOOG,2/21/2020,"1,508.03","1,512.21","1,480.44","1,485.11","1,485.11",1731700
NYSE,Google,GOOG,2/24/2020,"1,426.11","1,436.97","1,411.39","1,421.59","1,421.59",2867100
NYSE,Google,GOOG,2/25/2020,"1,433.00","1,438.14","1,382.40","1,388.45","1,388.45",2478300
NYSE,Google,GOOG,2/26/2020,"1,396.14","1,415.70","1,379.00","1,393.18","1,393.18",2202400
NYSE,Google,GOOG,2/27/2020,"1,362.06","1,371.70","1,317.17","1,318.09","1,318.09",2978300
NYSE,Google,GOOG,2/28/2020,"1,277.50","1,341.14","1,271.00","1,339.33","1,339.33",3790600
NYSE,Google,GOOG,3/2/2020,"1,351.61","1,390.87","1,326.81","1,389.11","1,389.11",2431500
NYSE,Google,GOOG,3/3/2020,"1,399.42","1,410.15","1,332.00","1,341.39","1,341.39",2402300
NYSE,Google,GOOG,3/4/2020,"1,359.23","1,388.09","1,343.11","1,386.52","1,386.52",1913300
NYSE,Google,GOOG,3/5/2020,"1,350.20","1,358.91","1,305.10","1,319.04","1,319.04",2561300
NYSE,Google,GOOG,3/6/2020,"1,277.06","1,306.22","1,261.05","1,298.41","1,298.41",2660600
NYSE,Google,GOOG,3/9/2020,"1,205.30","1,254.76","1,200.00","1,215.56","1,215.56",3365400
NYSE,Google,GOOG,3/10/2020,"1,260.00","1,281.15","1,218.77","1,280.39","1,280.39",2611400
NYSE,Google,GOOG,3/11/2020,"1,249.70","1,260.96","1,196.07","1,215.41","1,215.41",2608500
NYSE,Google,GOOG,3/12/2020,"1,126.00","1,193.87","1,113.30","1,114.91","1,114.91",4226700
NYSE,Google,GOOG,3/13/2020,"1,179.00","1,219.76","1,117.14","1,219.73","1,219.73",3700100
NYSE,Google,GOOG,3/16/2020,"1,096.00","1,152.27","1,074.44","1,084.33","1,084.33",4252400
NYSE,Google,GOOG,3/17/2020,"1,093.11","1,130.86","1,056.01","1,119.80","1,119.80",3861500
NYSE,Google,GOOG,3/18/2020,"1,056.51","1,106.50","1,037.28","1,096.80","1,096.80",4233400
NYSE,Google,GOOG,3/19/2020,"1,093.05","1,157.97","1,060.11","1,115.29","1,115.29",3651100
NYSE,Google,GOOG,3/20/2020,"1,135.72","1,143.99","1,065.49","1,072.32","1,072.32",3601800
NYSE,Google,GOOG,3/23/2020,"1,061.32","1,071.32","1,013.54","1,056.62","1,056.62",4044100
NYSE,Google,GOOG,3/24/2020,"1,103.77","1,135.00","1,090.62","1,134.46","1,134.46",3344500
NYSE,Google,GOOG,3/25/2020,"1,126.47","1,148.90","1,086.01","1,102.49","1,102.49",4081500
NYSE,Google,GOOG,3/26/2020,"1,111.80","1,169.97","1,093.53","1,161.75","1,161.75",3571700
NYSE,Google,GOOG,3/27/2020,"1,125.67","1,150.67","1,105.91","1,110.71","1,110.71",3208500
NYSE,Google,GOOG,3/30/2020,"1,125.04","1,151.63","1,096.48","1,146.82","1,146.82",2574100
NYSE,Google,GOOG,3/31/2020,"1,147.30","1,175.31","1,138.14","1,162.81","1,162.81",2486400
NYSE,Google,GOOG,4/1/2020,"1,122.00","1,129.69","1,097.45","1,105.62","1,105.62",2344200
NYSE,Google,GOOG,4/2/2020,"1,098.26","1,126.86","1,096.40","1,120.84","1,120.84",1964900
NYSE,Google,GOOG,4/3/2020,"1,119.02","1,123.54","1,079.81","1,097.88","1,097.88",2313400
NYSE,Google,GOOG,4/6/2020,"1,138.00","1,194.66","1,130.94","1,186.92","1,186.92",2660700
NYSE,Google,GOOG,4/7/2020,"1,221.00","1,225.00","1,182.23","1,186.51","1,186.51",2387300
NYSE,Google,GOOG,4/8/2020,"1,206.50","1,219.07","1,188.16","1,210.28","1,210.28",1975100
NYSE,Google,GOOG,4/9/2020,"1,224.08","1,225.57","1,196.73","1,211.45","1,211.45",2175400
NYSE,Google,GOOG,4/13/2020,"1,209.18","1,220.51","1,187.60","1,217.56","1,217.56",1739800
NYSE,Google,GOOG,4/14/2020,"1,245.09","1,282.07","1,236.93","1,269.23","1,269.23",2470400
NYSE,Google,GOOG,4/15/2020,"1,245.61","1,280.46","1,240.40","1,262.47","1,262.47",1671700
NYSE,Google,GOOG,4/16/2020,"1,274.10","1,279.00","1,242.62","1,263.47","1,263.47",2518100
NYSE,Google,GOOG,4/17/2020,"1,284.85","1,294.43","1,271.23","1,283.25","1,283.25",1949000
NYSE,Google,GOOG,4/20/2020,"1,271.00","1,281.60","1,261.37","1,266.61","1,266.61",1695500
NYSE,Google,GOOG,4/21/2020,"1,247.00","1,254.27","1,209.71","1,216.34","1,216.34",2153000
NYSE,Google,GOOG,4/22/2020,"1,245.54","1,285.61","1,242.00","1,263.21","1,263.21",2093100
NYSE,Google,GOOG,4/23/2020,"1,271.55","1,293.31","1,265.67","1,276.31","1,276.31",1566200
NYSE,Google,GOOG,4/24/2020,"1,261.17","1,280.40","1,249.45","1,279.31","1,279.31",1640400
NYSE,Google,GOOG,4/27/2020,"1,296.00","1,296.15","1,269.00","1,275.88","1,275.88",1600600
NYSE,Google,GOOG,4/28/2020,"1,287.93","1,288.05","1,232.20","1,233.67","1,233.67",2951300
NYSE,Google,GOOG,4/29/2020,"1,341.46","1,359.99","1,325.34","1,341.48","1,341.48",3793600
NYSE,Google,GOOG,4/30/2020,"1,324.88","1,352.82","1,322.49","1,348.66","1,348.66",2665400
NYSE,Google,GOOG,5/1/2020,"1,328.50","1,352.07","1,311.00","1,320.61","1,320.61",2072500
NYSE,Google,GOOG,5/4/2020,"1,308.23","1,327.66","1,299.00","1,326.80","1,326.80",1504000
NYSE,Google,GOOG,5/5/2020,"1,337.92","1,373.94","1,337.46","1,351.11","1,351.11",1651500
NYSE,Google,GOOG,5/6/2020,"1,361.69","1,371.12","1,347.29","1,347.30","1,347.30",1215400
NYSE,Google,GOOG,5/7/2020,"1,365.94","1,377.60","1,355.27","1,372.56","1,372.56",1397600
NYSE,Google,GOOG,5/8/2020,"1,383.13","1,398.76","1,375.48","1,388.37","1,388.37",1388100
NYSE,Google,GOOG,5/11/2020,"1,378.28","1,416.53","1,377.15","1,403.26","1,403.26",1410600
NYSE,Google,GOOG,5/12/2020,"1,407.12","1,415.00","1,374.77","1,375.74","1,375.74",1390600
NYSE,Google,GOOG,5/13/2020,"1,377.05","1,385.48","1,328.40","1,349.33","1,349.33",1812600
NYSE,Google,GOOG,5/14/2020,"1,335.02","1,357.42","1,323.91","1,356.13","1,356.13",1603100
NYSE,Google,GOOG,5/15/2020,"1,350.00","1,374.48","1,339.00","1,373.19","1,373.19",1707700
